iter	Passed	Remaining
0	2	2850
1	6	3333
2	10	3503
3	15	3884
4	19	3942
5	23	3938
6	28	4063
7	33	4156
8	37	4177
9	42	4190
10	47	4273
11	52	4304
12	56	4277
13	61	4298
14	65	4279
15	69	4266
16	73	4245
17	78	4261
18	82	4246
19	86	4224
20	90	4205
21	96	4288
22	100	4266
23	104	4248
24	109	4267
25	113	4253
26	117	4240
27	121	4229
28	145	4856
29	149	4838
30	153	4792
31	157	4760
32	161	4724
33	165	4690
34	169	4671
35	174	4668
36	179	4674
37	184	4678
38	190	4705
39	196	4713
40	201	4717
41	206	4716
42	212	4725
43	217	4717
44	222	4727
45	228	4729
46	233	4727
47	239	4748
48	244	4743
49	250	4755
50	256	4768
51	261	4774
52	266	4770
53	272	4775
54	277	4776
55	283	4777
56	288	4777
57	293	4773
58	299	4770
59	304	4770
60	308	4755
61	314	4759
62	319	4757
63	324	4750
64	330	4749
65	335	4740
66	339	4733
67	344	4724
68	349	4720
69	354	4713
70	359	4707
71	365	4706
72	370	4704
73	375	4703
74	381	4703
75	386	4695
76	391	4694
77	397	4694
78	402	4691
79	408	4694
80	413	4693
81	417	4679
82	423	4676
83	428	4675
84	434	4672
85	439	4670
86	444	4666
87	449	4657
88	453	4643
89	458	4635
90	462	4623
91	466	4608
92	471	4597
93	475	4584
94	480	4575
95	484	4563
96	489	4555
97	493	4546
98	498	4537
99	503	4527
100	508	4521
101	512	4509
102	516	4496
103	520	4488
104	525	4476
105	529	4464
106	533	4453
107	537	4441
108	541	4427
109	545	4415
110	549	4403
111	554	4396
112	570	4481
113	574	4466
114	578	4452
115	582	4439
116	587	4432
117	591	4421
118	595	4411
119	600	4404
120	605	4396
121	609	4388
122	615	4386
123	619	4379
124	624	4369
125	628	4358
126	635	4369
127	640	4361
128	644	4351
129	649	4344
130	654	4339
131	658	4331
132	664	4329
133	669	4323
134	673	4315
135	678	4308
136	682	4301
137	687	4292
138	692	4286
139	730	4486
140	735	4479
141	739	4466
142	744	4459
143	749	4452
144	753	4444
145	758	4438
146	763	4432
147	768	4424
148	772	4412
149	777	4408
150	782	4398
151	786	4389
152	791	4378
153	795	4367
154	799	4357
155	803	4346
156	810	4349
157	814	4341
158	819	4333
159	824	4328
160	829	4321
161	833	4310
162	838	4303
163	843	4297
164	857	4340
165	863	4336
166	867	4327
167	872	4319
168	876	4311
169	880	4300
170	886	4296
171	891	4289
172	895	4278
173	899	4268
174	903	4260
175	907	4250
176	912	4242
177	916	4234
178	921	4226
179	925	4216
180	929	4207
181	934	4200
182	939	4192
183	943	4183
184	947	4174
185	952	4168
186	956	4160
187	961	4152
188	965	4144
189	970	4135
190	974	4125
191	984	4143
192	988	4133
193	992	4124
194	996	4115
195	1000	4105
196	1005	4096
197	1009	4087
198	1013	4079
199	1018	4072
200	1022	4064
201	1026	4055
202	1031	4050
203	1036	4044
204	1040	4036
205	1046	4032
206	1051	4026
207	1055	4019
208	1059	4010
209	1064	4004
210	1068	3994
211	1072	3988
212	1078	3983
213	1082	3975
214	1086	3966
